contexto_pergunta,conteudo_resposta,classificada_como_ofensiva,classificada_como_sentimento
Avalie o material didático utilizado nas aulas.,Não foi nem boa nem ruim.,0,neutro
Como você avalia o desempenho do professor durante o semestre?,Sem grandes comentários.,0,neutro
Avalie o material didático utilizado nas aulas.,Não foi nem boa nem ruim.,0,neutro
Você recomendaria essa disciplina para outros alunos?,Tranquila.,0,neutro
Como foi sua interação com o professor?,Nada demais.,0,neutro
O que você achou das aulas deste semestre?,Foi o que imaginei.,0,neutro
O que achou da metodologia usada pelo professor?,Como qualquer outra disciplina.,0,neutro
Qual sua percepção geral da disciplina?,Nada fora do comum.,0,neutro
Como foi sua experiência com as atividades propostas?,Tranquila.,0,neutro
Avalie o material didático utilizado nas aulas.,Na média.,0,neutro
Como você avalia o desempenho do professor durante o semestre?,Sem pontos a destacar.,0,neutro
Você recomendaria essa disciplina para outros alunos?,Razoável.,0,neutro
Como você avalia o conteúdo apresentado?,Razoável.,0,neutro
Você recomendaria essa disciplina para outros alunos?,Nada que chame atenção.,0,neutro
O que você achou das aulas deste semestre?,Foi aceitável.,0,neutro
O que você achou das aulas deste semestre?,Sem grandes comentários.,0,neutro
Avalie o material didático utilizado nas aulas.,Ok.,0,neutro
Como o professor lidou com as dúvidas dos alunos?,Tranquila.,0,neutro
Como foi sua interação com o professor?,Razoável.,0,neutro
Como você avalia o conteúdo apresentado?,Dentro do esperado.,0,neutro
Como foi sua interação com o professor?,Razoável.,0,neutro
O que achou da metodologia usada pelo professor?,Sem destaques.,0,neutro
Como você avalia o desempenho do professor durante o semestre?,Nada fora do comum.,0,neutro
Como o professor lidou com as dúvidas dos alunos?,Sem destaques.,0,neutro
Como você avalia o desempenho do professor durante o semestre?,Regular.,0,neutro
Como você avalia o conteúdo apresentado?,Não foi nem boa nem ruim.,0,neutro
Como foi sua experiência com as atividades propostas?,Razoável.,0,neutro
Como você avalia o desempenho do professor durante o semestre?,Nada fora do comum.,0,neutro
Qual sua percepção geral da disciplina?,A disciplina ocorreu normalmente.,0,neutro
Como você avalia o conteúdo apresentado?,Cumpriu o básico.,0,neutro
Como o professor lidou com as dúvidas dos alunos?,Como qualquer outra disciplina.,0,neutro
Qual sua percepção geral da disciplina?,Na média.,0,neutro
O que achou da metodologia usada pelo professor?,Ok.,0,neutro
O que você achou das aulas deste semestre?,Nada fora do comum.,0,neutro
Avalie o material didático utilizado nas aulas.,Ok.,0,neutro
Avalie o material didático utilizado nas aulas.,Na média.,0,neutro
Avalie o material didático utilizado nas aulas.,Sem destaques.,0,neutro
Qual sua percepção geral da disciplina?,Dentro do esperado.,0,neutro
Como você avalia o conteúdo apresentado?,Regular.,0,neutro
O que achou da metodologia usada pelo professor?,Nada demais.,0,neutro
Qual sua percepção geral da disciplina?,Cumpriu o básico.,0,neutro
Avalie o material didático utilizado nas aulas.,Como qualquer outra disciplina.,0,neutro
Como foi sua interação com o professor?,Razoável.,0,neutro
O que achou da metodologia usada pelo professor?,Sem grandes comentários.,0,neutro
Como foi sua experiência com as atividades propostas?,Tranquila.,0,neutro
Como foi sua experiência com as atividades propostas?,Dentro do esperado.,0,neutro
Qual sua percepção geral da disciplina?,Nada surpreendente.,0,neutro
Como o professor lidou com as dúvidas dos alunos?,Foi aceitável.,0,neutro
Avalie o material didático utilizado nas aulas.,Nada fora do comum.,0,neutro
Como o professor lidou com as dúvidas dos alunos?,A disciplina ocorreu normalmente.,0,neutro
Como foi sua experiência com as atividades propostas?,Foi aceitável.,0,neutro
Avalie o material didático utilizado nas aulas.,Dentro do esperado.,0,neutro
Como o professor lidou com as dúvidas dos alunos?,Foi o que imaginei.,0,neutro
Avalie o material didático utilizado nas aulas.,A disciplina ocorreu normalmente.,0,neutro
Como você avalia o desempenho do professor durante o semestre?,Mediana.,0,neutro
Qual sua percepção geral da disciplina?,Foi o que imaginei.,0,neutro
Qual sua percepção geral da disciplina?,Cumpriu o básico.,0,neutro
Como o professor lidou com as dúvidas dos alunos?,Foi aceitável.,0,neutro
O que você achou das aulas deste semestre?,Cumpriu o básico.,0,neutro
Qual sua percepção geral da disciplina?,Sem destaques.,0,neutro
Como o professor lidou com as dúvidas dos alunos?,Sem destaques.,0,neutro
Como foi sua interação com o professor?,Mediana.,0,neutro
Qual sua percepção geral da disciplina?,Nada que chame atenção.,0,neutro
Como você avalia o conteúdo apresentado?,Sem grandes comentários.,0,neutro
Como você avalia o desempenho do professor durante o semestre?,Cumpriu o básico.,0,neutro
Como foi sua experiência com as atividades propostas?,Razoável.,0,neutro
Você recomendaria essa disciplina para outros alunos?,Ok.,0,neutro
O que achou da metodologia usada pelo professor?,Mediana.,0,neutro
Como você avalia o desempenho do professor durante o semestre?,Foi o que imaginei.,0,neutro
Como o professor lidou com as dúvidas dos alunos?,Nada que chame atenção.,0,neutro
Como foi sua experiência com as atividades propostas?,Foi aceitável.,0,neutro
Como você avalia o conteúdo apresentado?,Como qualquer outra disciplina.,0,neutro
Você recomendaria essa disciplina para outros alunos?,Nada que chame atenção.,0,neutro
Como você avalia o conteúdo apresentado?,Sem pontos a destacar.,0,neutro
Como foi sua interação com o professor?,Foi aceitável.,0,neutro
Qual sua percepção geral da disciplina?,Mediana.,0,neutro
Como foi sua interação com o professor?,Regular.,0,neutro
Avalie o material didático utilizado nas aulas.,Foi o que imaginei.,0,neutro
Como o professor lidou com as dúvidas dos alunos?,Na média.,0,neutro
Como você avalia o conteúdo apresentado?,Nada fora do comum.,0,neutro
Como o professor lidou com as dúvidas dos alunos?,Mediana.,0,neutro
Como você avalia o conteúdo apresentado?,Sem grandes comentários.,0,neutro
Como você avalia o desempenho do professor durante o semestre?,Regular.,0,neutro
Como foi sua interação com o professor?,Ok.,0,neutro
Você recomendaria essa disciplina para outros alunos?,Nada demais.,0,neutro
O que você achou das aulas deste semestre?,Nada que chame atenção.,0,neutro
Qual sua percepção geral da disciplina?,Cumpriu o básico.,0,neutro
O que achou da metodologia usada pelo professor?,Nada fora do comum.,0,neutro
Você recomendaria essa disciplina para outros alunos?,A disciplina ocorreu normalmente.,0,neutro
Você recomendaria essa disciplina para outros alunos?,Foi aceitável.,0,neutro
O que achou da metodologia usada pelo professor?,Ok.,0,neutro
O que achou da metodologia usada pelo professor?,Razoável.,0,neutro
Como foi sua experiência com as atividades propostas?,Foi aceitável.,0,neutro
Avalie o material didático utilizado nas aulas.,Tranquila.,0,neutro
Como você avalia o conteúdo apresentado?,Nada fora do comum.,0,neutro
O que você achou das aulas deste semestre?,Sem pontos a destacar.,0,neutro
O que achou da metodologia usada pelo professor?,Foi o que imaginei.,0,neutro
Como foi sua interação com o professor?,Ok.,0,neutro
Como você avalia o conteúdo apresentado?,Sem destaques.,0,neutro
O que você achou das aulas deste semestre?,Sem destaques.,0,neutro
Como o professor lidou com as dúvidas dos alunos?,Razoável.,0,neutro
Como foi sua interação com o professor?,Nada fora do comum.,0,neutro
Qual sua percepção geral da disciplina?,Sem grandes comentários.,0,neutro
O que achou da metodologia usada pelo professor?,Nada surpreendente.,0,neutro
Como o professor lidou com as dúvidas dos alunos?,Como qualquer outra disciplina.,0,neutro
O que você achou das aulas deste semestre?,Foi o que imaginei.,0,neutro
Como foi sua interação com o professor?,Sem grandes comentários.,0,neutro
Como o professor lidou com as dúvidas dos alunos?,Nada fora do comum.,0,neutro
Como você avalia o conteúdo apresentado?,Sem grandes comentários.,0,neutro
Como você avalia o conteúdo apresentado?,Na média.,0,neutro
O que achou da metodologia usada pelo professor?,Sem destaques.,0,neutro
Como foi sua experiência com as atividades propostas?,Mediana.,0,neutro
Você recomendaria essa disciplina para outros alunos?,Nada demais.,0,neutro
Como foi sua experiência com as atividades propostas?,A disciplina ocorreu normalmente.,0,neutro
Como você avalia o desempenho do professor durante o semestre?,Cumpriu o básico.,0,neutro
Como você avalia o conteúdo apresentado?,Nada demais.,0,neutro
Avalie o material didático utilizado nas aulas.,Não foi nem boa nem ruim.,0,neutro
Você recomendaria essa disciplina para outros alunos?,Regular.,0,neutro
Como foi sua interação com o professor?,Dentro do esperado.,0,neutro
Como o professor lidou com as dúvidas dos alunos?,Sem grandes comentários.,0,neutro
Avalie o material didático utilizado nas aulas.,Na média.,0,neutro
Como foi sua interação com o professor?,Foi o que imaginei.,0,neutro
Como foi sua interação com o professor?,A disciplina ocorreu normalmente.,0,neutro
Você recomendaria essa disciplina para outros alunos?,Na média.,0,neutro
Como foi sua interação com o professor?,Como qualquer outra disciplina.,0,neutro
Como o professor lidou com as dúvidas dos alunos?,Nada surpreendente.,0,neutro
Você recomendaria essa disciplina para outros alunos?,Nada que chame atenção.,0,neutro
Como você avalia o conteúdo apresentado?,Dentro do esperado.,0,neutro
Como você avalia o conteúdo apresentado?,Tranquila.,0,neutro
O que achou da metodologia usada pelo professor?,Não foi nem boa nem ruim.,0,neutro
O que você achou das aulas deste semestre?,A disciplina ocorreu normalmente.,0,neutro
Como foi sua interação com o professor?,Foi o que imaginei.,0,neutro
Você recomendaria essa disciplina para outros alunos?,Razoável.,0,neutro
Como você avalia o desempenho do professor durante o semestre?,Nada fora do comum.,0,neutro
Você recomendaria essa disciplina para outros alunos?,Nada surpreendente.,0,neutro
Como você avalia o desempenho do professor durante o semestre?,Nada surpreendente.,0,neutro
Avalie o material didático utilizado nas aulas.,Dentro do esperado.,0,neutro
Qual sua percepção geral da disciplina?,Nada que chame atenção.,0,neutro
Qual sua percepção geral da disciplina?,Sem grandes comentários.,0,neutro
O que você achou das aulas deste semestre?,Dentro do esperado.,0,neutro
Como foi sua interação com o professor?,Tranquila.,0,neutro
Como você avalia o desempenho do professor durante o semestre?,Na média.,0,neutro
O que achou da metodologia usada pelo professor?,Razoável.,0,neutro
Como o professor lidou com as dúvidas dos alunos?,Na média.,0,neutro
Como foi sua experiência com as atividades propostas?,Dentro do esperado.,0,neutro
Avalie o material didático utilizado nas aulas.,Ok.,0,neutro
Avalie o material didático utilizado nas aulas.,Sem destaques.,0,neutro
O que você achou das aulas deste semestre?,Na média.,0,neutro
Como você avalia o desempenho do professor durante o semestre?,Nada que chame atenção.,0,neutro
Você recomendaria essa disciplina para outros alunos?,Dentro do esperado.,0,neutro
Avalie o material didático utilizado nas aulas.,Nada demais.,0,neutro
Como o professor lidou com as dúvidas dos alunos?,Sem pontos a destacar.,0,neutro
Como você avalia o desempenho do professor durante o semestre?,Foi o que imaginei.,0,neutro
Qual sua percepção geral da disciplina?,Cumpriu o básico.,0,neutro
Como foi sua experiência com as atividades propostas?,Nada demais.,0,neutro
Como foi sua interação com o professor?,Como qualquer outra disciplina.,0,neutro
Você recomendaria essa disciplina para outros alunos?,Nada demais.,0,neutro
Você recomendaria essa disciplina para outros alunos?,Mediana.,0,neutro
Como foi sua experiência com as atividades propostas?,Sem destaques.,0,neutro
O que achou da metodologia usada pelo professor?,Sem destaques.,0,neutro
Como você avalia o conteúdo apresentado?,Nada fora do comum.,0,neutro
Como você avalia o conteúdo apresentado?,Cumpriu o básico.,0,neutro
Como o professor lidou com as dúvidas dos alunos?,Cumpriu o básico.,0,neutro
Qual sua percepção geral da disciplina?,Sem destaques.,0,neutro
Como você avalia o desempenho do professor durante o semestre?,Nada fora do comum.,0,neutro
Como foi sua experiência com as atividades propostas?,Sem grandes comentários.,0,neutro
Como foi sua interação com o professor?,Ok.,0,neutro
O que você achou das aulas deste semestre?,Foi aceitável.,0,neutro
Como você avalia o conteúdo apresentado?,Sem pontos a destacar.,0,neutro
Como foi sua experiência com as atividades propostas?,Nada demais.,0,neutro
Avalie o material didático utilizado nas aulas.,Na média.,0,neutro
Qual sua percepção geral da disciplina?,Sem pontos a destacar.,0,neutro
Como você avalia o desempenho do professor durante o semestre?,Ok.,0,neutro
Como foi sua interação com o professor?,Cumpriu o básico.,0,neutro
Como foi sua experiência com as atividades propostas?,Foi aceitável.,0,neutro
Como você avalia o conteúdo apresentado?,Não foi nem boa nem ruim.,0,neutro
Como você avalia o conteúdo apresentado?,Nada surpreendente.,0,neutro
Avalie o material didático utilizado nas aulas.,A disciplina ocorreu normalmente.,0,neutro
Como você avalia o desempenho do professor durante o semestre?,Nada demais.,0,neutro
Avalie o material didático utilizado nas aulas.,A disciplina ocorreu normalmente.,0,neutro
Você recomendaria essa disciplina para outros alunos?,Foi aceitável.,0,neutro
Como foi sua interação com o professor?,Nada demais.,0,neutro
Avalie o material didático utilizado nas aulas.,Sem pontos a destacar.,0,neutro
Qual sua percepção geral da disciplina?,Foi aceitável.,0,neutro
Qual sua percepção geral da disciplina?,Sem pontos a destacar.,0,neutro
Como você avalia o desempenho do professor durante o semestre?,Sem grandes comentários.,0,neutro
O que achou da metodologia usada pelo professor?,Razoável.,0,neutro
O que achou da metodologia usada pelo professor?,Nada que chame atenção.,0,neutro
Como o professor lidou com as dúvidas dos alunos?,Na média.,0,neutro
Como foi sua experiência com as atividades propostas?,Tranquila.,0,neutro
Como foi sua interação com o professor?,Como qualquer outra disciplina.,0,neutro
Como você avalia o conteúdo apresentado?,Nada que chame atenção.,0,neutro
Como o professor lidou com as dúvidas dos alunos?,Regular.,0,neutro
Você recomendaria essa disciplina para outros alunos?,Como qualquer outra disciplina.,0,neutro
Qual sua percepção geral da disciplina?,Foi aceitável.,0,neutro
Como você avalia o conteúdo apresentado?,Tranquila.,0,neutro
Qual sua percepção geral da disciplina?,Tranquila.,0,neutro
Como o professor lidou com as dúvidas dos alunos?,Sem grandes comentários.,0,neutro
O que você achou das aulas deste semestre?,Nada fora do comum.,0,neutro
Como foi sua interação com o professor?,Dentro do esperado.,0,neutro
Você recomendaria essa disciplina para outros alunos?,Dentro do esperado.,0,neutro
Como foi sua interação com o professor?,Sem grandes comentários.,0,neutro
O que você achou das aulas deste semestre?,Nada que chame atenção.,0,neutro
Como o professor lidou com as dúvidas dos alunos?,Não foi nem boa nem ruim.,0,neutro
O que você achou das aulas deste semestre?,Nada surpreendente.,0,neutro
Como foi sua experiência com as atividades propostas?,Foi aceitável.,0,neutro
O que achou da metodologia usada pelo professor?,Razoável.,0,neutro
O que você achou das aulas deste semestre?,Razoável.,0,neutro
Como foi sua experiência com as atividades propostas?,Nada surpreendente.,0,neutro
O que achou da metodologia usada pelo professor?,Como qualquer outra disciplina.,0,neutro
Você recomendaria essa disciplina para outros alunos?,Na média.,0,neutro
Qual sua percepção geral da disciplina?,Dentro do esperado.,0,neutro
Você recomendaria essa disciplina para outros alunos?,Como qualquer outra disciplina.,0,neutro
Como foi sua interação com o professor?,Nada surpreendente.,0,neutro
Como foi sua interação com o professor?,Nada demais.,0,neutro
Qual sua percepção geral da disciplina?,Como qualquer outra disciplina.,0,neutro
Como você avalia o desempenho do professor durante o semestre?,Na média.,0,neutro
Qual sua percepção geral da disciplina?,Tranquila.,0,neutro
Qual sua percepção geral da disciplina?,Tranquila.,0,neutro
Como o professor lidou com as dúvidas dos alunos?,Nada que chame atenção.,0,neutro
Como você avalia o conteúdo apresentado?,Na média.,0,neutro
Como o professor lidou com as dúvidas dos alunos?,Razoável.,0,neutro
Como o professor lidou com as dúvidas dos alunos?,Dentro do esperado.,0,neutro
Como foi sua interação com o professor?,Tranquila.,0,neutro
O que achou da metodologia usada pelo professor?,Foi aceitável.,0,neutro
Qual sua percepção geral da disciplina?,Nada fora do comum.,0,neutro
Avalie o material didático utilizado nas aulas.,Na média.,0,neutro
Como você avalia o desempenho do professor durante o semestre?,A disciplina ocorreu normalmente.,0,neutro
O que achou da metodologia usada pelo professor?,A disciplina ocorreu normalmente.,0,neutro
Como foi sua experiência com as atividades propostas?,Foi aceitável.,0,neutro
Avalie o material didático utilizado nas aulas.,Ok.,0,neutro
Avalie o material didático utilizado nas aulas.,A disciplina ocorreu normalmente.,0,neutro
Avalie o material didático utilizado nas aulas.,Nada que chame atenção.,0,neutro
Você recomendaria essa disciplina para outros alunos?,Nada fora do comum.,0,neutro
Qual sua percepção geral da disciplina?,Sem grandes comentários.,0,neutro
Como você avalia o desempenho do professor durante o semestre?,Não foi nem boa nem ruim.,0,neutro
Qual sua percepção geral da disciplina?,Mediana.,0,neutro
Qual sua percepção geral da disciplina?,Sem pontos a destacar.,0,neutro
Como você avalia o conteúdo apresentado?,Nada demais.,0,neutro
Como o professor lidou com as dúvidas dos alunos?,Foi o que imaginei.,0,neutro
O que você achou das aulas deste semestre?,Sem grandes comentários.,0,neutro
Qual sua percepção geral da disciplina?,Foi aceitável.,0,neutro
Como você avalia o desempenho do professor durante o semestre?,A disciplina ocorreu normalmente.,0,neutro
Como o professor lidou com as dúvidas dos alunos?,Tranquila.,0,neutro
O que você achou das aulas deste semestre?,Foi o que imaginei.,0,neutro
O que achou da metodologia usada pelo professor?,Tranquila.,0,neutro
Como foi sua experiência com as atividades propostas?,Dentro do esperado.,0,neutro
O que você achou das aulas deste semestre?,Tranquila.,0,neutro
O que você achou das aulas deste semestre?,A disciplina ocorreu normalmente.,0,neutro
O que achou da metodologia usada pelo professor?,Nada surpreendente.,0,neutro
Avalie o material didático utilizado nas aulas.,Tranquila.,0,neutro
Como foi sua interação com o professor?,Nada surpreendente.,0,neutro
Como você avalia o conteúdo apresentado?,Sem grandes comentários.,0,neutro
Qual sua percepção geral da disciplina?,Sem pontos a destacar.,0,neutro
O que você achou das aulas deste semestre?,Sem pontos a destacar.,0,neutro
O que você achou das aulas deste semestre?,Regular.,0,neutro
Como você avalia o desempenho do professor durante o semestre?,Razoável.,0,neutro
Qual sua percepção geral da disciplina?,Na média.,0,neutro
Como você avalia o conteúdo apresentado?,Cumpriu o básico.,0,neutro
Como você avalia o conteúdo apresentado?,Nada que chame atenção.,0,neutro
Como foi sua experiência com as atividades propostas?,Mediana.,0,neutro
Como você avalia o conteúdo apresentado?,Nada demais.,0,neutro
Qual sua percepção geral da disciplina?,Não foi nem boa nem ruim.,0,neutro
O que achou da metodologia usada pelo professor?,Mediana.,0,neutro
Como o professor lidou com as dúvidas dos alunos?,Nada fora do comum.,0,neutro
Qual sua percepção geral da disciplina?,Sem pontos a destacar.,0,neutro
O que você achou das aulas deste semestre?,Ok.,0,neutro
Como você avalia o desempenho do professor durante o semestre?,Foi o que imaginei.,0,neutro
O que você achou das aulas deste semestre?,Na média.,0,neutro
Qual sua percepção geral da disciplina?,A disciplina ocorreu normalmente.,0,neutro
Como você avalia o conteúdo apresentado?,Mediana.,0,neutro
Você recomendaria essa disciplina para outros alunos?,Regular.,0,neutro
Como foi sua interação com o professor?,Cumpriu o básico.,0,neutro
Como você avalia o desempenho do professor durante o semestre?,Foi o que imaginei.,0,neutro
Como foi sua experiência com as atividades propostas?,Regular.,0,neutro
Como foi sua experiência com as atividades propostas?,Cumpriu o básico.,0,neutro
Como você avalia o conteúdo apresentado?,Foi o que imaginei.,0,neutro
O que achou da metodologia usada pelo professor?,Tranquila.,0,neutro
Você recomendaria essa disciplina para outros alunos?,Nada que chame atenção.,0,neutro
Como foi sua experiência com as atividades propostas?,Dentro do esperado.,0,neutro
Avalie o material didático utilizado nas aulas.,Dentro do esperado.,0,neutro
Como o professor lidou com as dúvidas dos alunos?,Não foi nem boa nem ruim.,0,neutro
Qual sua percepção geral da disciplina?,Dentro do esperado.,0,neutro
Como você avalia o conteúdo apresentado?,Foi aceitável.,0,neutro
Você recomendaria essa disciplina para outros alunos?,Dentro do esperado.,0,neutro
Como você avalia o conteúdo apresentado?,Ok.,0,neutro
Avalie o material didático utilizado nas aulas.,Sem grandes comentários.,0,neutro
Como o professor lidou com as dúvidas dos alunos?,Mediana.,0,neutro
Como foi sua experiência com as atividades propostas?,Nada fora do comum.,0,neutro
Como foi sua interação com o professor?,A disciplina ocorreu normalmente.,0,neutro
Como foi sua interação com o professor?,Nada surpreendente.,0,neutro
Você recomendaria essa disciplina para outros alunos?,Dentro do esperado.,0,neutro
Como foi sua interação com o professor?,Sem grandes comentários.,0,neutro
Como o professor lidou com as dúvidas dos alunos?,Como qualquer outra disciplina.,0,neutro
O que achou da metodologia usada pelo professor?,Mediana.,0,neutro
Qual sua percepção geral da disciplina?,Cumpriu o básico.,0,neutro
Avalie o material didático utilizado nas aulas.,Não foi nem boa nem ruim.,0,neutro
O que achou da metodologia usada pelo professor?,Não foi nem boa nem ruim.,0,neutro
Como foi sua interação com o professor?,A disciplina ocorreu normalmente.,0,neutro
Como você avalia o conteúdo apresentado?,Mediana.,0,neutro
Você recomendaria essa disciplina para outros alunos?,Nada fora do comum.,0,neutro
Como o professor lidou com as dúvidas dos alunos?,A disciplina ocorreu normalmente.,0,neutro
O que achou da metodologia usada pelo professor?,Dentro do esperado.,0,neutro
Como você avalia o desempenho do professor durante o semestre?,Ok.,0,neutro
O que você achou das aulas deste semestre?,Mediana.,0,neutro
Como foi sua experiência com as atividades propostas?,Nada fora do comum.,0,neutro
O que você achou das aulas deste semestre?,Não foi nem boa nem ruim.,0,neutro
Como o professor lidou com as dúvidas dos alunos?,Ok.,0,neutro
Como foi sua interação com o professor?,Nada surpreendente.,0,neutro
Como você avalia o conteúdo apresentado?,Nada que chame atenção.,0,neutro
Avalie o material didático utilizado nas aulas.,Sem destaques.,0,neutro
O que achou da metodologia usada pelo professor?,Nada demais.,0,neutro
O que você achou das aulas deste semestre?,Não foi nem boa nem ruim.,0,neutro
O que você achou das aulas deste semestre?,Foi o que imaginei.,0,neutro
Qual sua percepção geral da disciplina?,Nada surpreendente.,0,neutro
Avalie o material didático utilizado nas aulas.,Mediana.,0,neutro
O que achou da metodologia usada pelo professor?,Cumpriu o básico.,0,neutro
Você recomendaria essa disciplina para outros alunos?,Não foi nem boa nem ruim.,0,neutro
Como o professor lidou com as dúvidas dos alunos?,Sem destaques.,0,neutro
Você recomendaria essa disciplina para outros alunos?,Na média.,0,neutro
Como você avalia o conteúdo apresentado?,Dentro do esperado.,0,neutro
O que você achou das aulas deste semestre?,Nada surpreendente.,0,neutro
Como o professor lidou com as dúvidas dos alunos?,Não foi nem boa nem ruim.,0,neutro
O que achou da metodologia usada pelo professor?,Nada demais.,0,neutro
O que achou da metodologia usada pelo professor?,Sem destaques.,0,neutro
Como você avalia o conteúdo apresentado?,A disciplina ocorreu normalmente.,0,neutro
Como foi sua interação com o professor?,Foi aceitável.,0,neutro
Como você avalia o desempenho do professor durante o semestre?,Sem destaques.,0,neutro
Você recomendaria essa disciplina para outros alunos?,Sem pontos a destacar.,0,neutro
O que achou da metodologia usada pelo professor?,Sem destaques.,0,neutro
Como você avalia o desempenho do professor durante o semestre?,Dentro do esperado.,0,neutro
O que achou da metodologia usada pelo professor?,Razoável.,0,neutro
Como você avalia o conteúdo apresentado?,Sem pontos a destacar.,0,neutro
Como o professor lidou com as dúvidas dos alunos?,Nada que chame atenção.,0,neutro
Você recomendaria essa disciplina para outros alunos?,Sem destaques.,0,neutro
Como foi sua experiência com as atividades propostas?,Regular.,0,neutro
O que achou da metodologia usada pelo professor?,Tranquila.,0,neutro
O que achou da metodologia usada pelo professor?,Nada fora do comum.,0,neutro
Como você avalia o desempenho do professor durante o semestre?,Nada que chame atenção.,0,neutro
Você recomendaria essa disciplina para outros alunos?,Sem pontos a destacar.,0,neutro
O que você achou das aulas deste semestre?,Sem grandes comentários.,0,neutro
Como você avalia o desempenho do professor durante o semestre?,Nada surpreendente.,0,neutro
Você recomendaria essa disciplina para outros alunos?,Razoável.,0,neutro
Avalie o material didático utilizado nas aulas.,Nada fora do comum.,0,neutro
O que você achou das aulas deste semestre?,Nada que chame atenção.,0,neutro
Como o professor lidou com as dúvidas dos alunos?,Regular.,0,neutro
Como o professor lidou com as dúvidas dos alunos?,Na média.,0,neutro
O que achou da metodologia usada pelo professor?,Sem pontos a destacar.,0,neutro
Você recomendaria essa disciplina para outros alunos?,Ok.,0,neutro
O que você achou das aulas deste semestre?,Como qualquer outra disciplina.,0,neutro
Como foi sua experiência com as atividades propostas?,Nada surpreendente.,0,neutro
O que você achou das aulas deste semestre?,Cumpriu o básico.,0,neutro
O que achou da metodologia usada pelo professor?,Regular.,0,neutro
Como foi sua experiência com as atividades propostas?,Não foi nem boa nem ruim.,0,neutro
O que achou da metodologia usada pelo professor?,Cumpriu o básico.,0,neutro
Como o professor lidou com as dúvidas dos alunos?,Não foi nem boa nem ruim.,0,neutro
Você recomendaria essa disciplina para outros alunos?,Foi aceitável.,0,neutro
Como foi sua experiência com as atividades propostas?,Sem destaques.,0,neutro
Como você avalia o conteúdo apresentado?,A disciplina ocorreu normalmente.,0,neutro
Como foi sua interação com o professor?,Dentro do esperado.,0,neutro
Como foi sua interação com o professor?,Foi aceitável.,0,neutro
Como você avalia o conteúdo apresentado?,Razoável.,0,neutro
Como foi sua experiência com as atividades propostas?,A disciplina ocorreu normalmente.,0,neutro
Você recomendaria essa disciplina para outros alunos?,Sem grandes comentários.,0,neutro
Qual sua percepção geral da disciplina?,Na média.,0,neutro
O que achou da metodologia usada pelo professor?,Cumpriu o básico.,0,neutro
Você recomendaria essa disciplina para outros alunos?,Sem pontos a destacar.,0,neutro
Você recomendaria essa disciplina para outros alunos?,Foi o que imaginei.,0,neutro
Como você avalia o desempenho do professor durante o semestre?,Nada demais.,0,neutro
O que você achou das aulas deste semestre?,Foi aceitável.,0,neutro
O que achou da metodologia usada pelo professor?,Não foi nem boa nem ruim.,0,neutro
O que você achou das aulas deste semestre?,A disciplina ocorreu normalmente.,0,neutro
Como foi sua experiência com as atividades propostas?,Sem pontos a destacar.,0,neutro
Você recomendaria essa disciplina para outros alunos?,Nada fora do comum.,0,neutro
Como o professor lidou com as dúvidas dos alunos?,Nada demais.,0,neutro
O que você achou das aulas deste semestre?,Tranquila.,0,neutro
Você recomendaria essa disciplina para outros alunos?,Nada fora do comum.,0,neutro
Avalie o material didático utilizado nas aulas.,Cumpriu o básico.,0,neutro
O que achou da metodologia usada pelo professor?,Nada fora do comum.,0,neutro
Como você avalia o desempenho do professor durante o semestre?,Nada que chame atenção.,0,neutro
Avalie o material didático utilizado nas aulas.,Na média.,0,neutro
Como foi sua interação com o professor?,Ok.,0,neutro
Como foi sua experiência com as atividades propostas?,Ok.,0,neutro
Qual sua percepção geral da disciplina?,Sem grandes comentários.,0,neutro
Como foi sua interação com o professor?,Como qualquer outra disciplina.,0,neutro
Como foi sua experiência com as atividades propostas?,Nada demais.,0,neutro
Como o professor lidou com as dúvidas dos alunos?,Não foi nem boa nem ruim.,0,neutro
Você recomendaria essa disciplina para outros alunos?,Ok.,0,neutro
O que achou da metodologia usada pelo professor?,Nada surpreendente.,0,neutro
O que você achou das aulas deste semestre?,Sem destaques.,0,neutro
Você recomendaria essa disciplina para outros alunos?,Sem pontos a destacar.,0,neutro
Como você avalia o conteúdo apresentado?,Como qualquer outra disciplina.,0,neutro
Como foi sua experiência com as atividades propostas?,Como qualquer outra disciplina.,0,neutro
O que você achou das aulas deste semestre?,Nada demais.,0,neutro
Como você avalia o conteúdo apresentado?,Foi aceitável.,0,neutro
Como foi sua interação com o professor?,Dentro do esperado.,0,neutro
Como você avalia o conteúdo apresentado?,Na média.,0,neutro
Como você avalia o desempenho do professor durante o semestre?,Foi aceitável.,0,neutro
Como você avalia o conteúdo apresentado?,Dentro do esperado.,0,neutro
Como foi sua experiência com as atividades propostas?,Sem destaques.,0,neutro
Como foi sua interação com o professor?,Tranquila.,0,neutro
Como você avalia o conteúdo apresentado?,Foi o que imaginei.,0,neutro
O que você achou das aulas deste semestre?,Regular.,0,neutro
Como foi sua experiência com as atividades propostas?,Nada fora do comum.,0,neutro
Como foi sua experiência com as atividades propostas?,Nada que chame atenção.,0,neutro
Como você avalia o desempenho do professor durante o semestre?,Foi o que imaginei.,0,neutro
Como você avalia o desempenho do professor durante o semestre?,Sem destaques.,0,neutro
Como você avalia o conteúdo apresentado?,Sem pontos a destacar.,0,neutro
